date,campaign_id,case_id,operation,classification,threat_family,severity,status,campaign_phase,platform,device,vendor,zone,confidence,risk_score,affected_assets,evidence_count,ioc_count,initial_access,lead_analyst,priority
2026-07-16,BDC-2026-001,BID-2026-1951,Operation Black Eclipse,Research Facility Intrusion,Specimen Tracking Manipulation,MODERATE,Field Coordination,Containment,Clinical Research Environment,Specimen Tracking Server,Dell,Secure Laboratory,99,62,24,28,142,Credential Abuse,Joint Cyber Investigation Unit,SEVERE
2026-07-16,BDC-2026-001,BID-2026-7151,Operation Black Eclipse,Biosecurity Infrastructure Investigation,Biological Data Exfiltration,HIGH,Intelligence Analysis,Containment,Clinical Research Environment,Laboratory Controller,VMware,Federal Operations,97,79,38,626,432,Credential Abuse,Joint Cyber Investigation Unit,ELEVATED
2026-07-17,BDC-2026-001,BID-2026-1588,Operation Black Eclipse,Laboratory Security Breach,Insider Laboratory Compromise,LOW,Containment,Containment,Evidence Processing Network,Genome Sequencing Server,Red Hat,Biosecurity Segment,96,33,27,1070,325,Remote Access,Analyst Team Bravo,ELEVATED
2026-07-17,BDC-2026-001,BID-2026-1443,Operation Black Eclipse,Biomedical Network Exposure,Insider Laboratory Compromise,LOW,Monitoring,Containment,Evidence Processing Network,Access Control System,Red Hat,Containment Network,94,42,18,2127,1008,Phishing,National Response Cell,SEVERE
2026-07-19,BDC-2026-001,BID-2026-1767,Operation Black Eclipse,Medical Device Security Assessment,Research Network Persistence,MODERATE,Containment,Containment,Laboratory Control Network,Evidence Repository,Red Hat,Federal Operations,90,60,8,118,1504,Supply Chain,Analyst Team Alpha,CRITICAL
2026-07-19,BDC-2026-001,BID-2026-7964,Operation Black Eclipse,Medical Device Security Assessment,Biomedical Infrastructure Reconnaissance,CRITICAL,Open,Operational Recovery,Biomedical Analysis Cluster,Access Control System,Dell,Biosecurity Segment,93,100,37,3904,2764,Phishing,Analyst Team Delta,CRITICAL
2026-07-19,BDC-2026-001,BID-2026-9255,Operation Black Eclipse,Counter-Bioterror Intelligence Case,Synthetic Genome Theft,MODERATE,Monitoring,Operational Recovery,Laboratory Control Network,Access Control System,Dell,Containment Network,91,58,37,3635,6364,Supply Chain,National Response Cell,SEVERE
2026-07-19,BDC-2026-001,BID-2026-5303,Operation Black Eclipse,Counter-Bioterror Intelligence Case,Synthetic Genome Theft,CRITICAL,Intelligence Analysis,Operational Recovery,Clinical Research Environment,Access Control System,Red Hat,Secure Laboratory,84,90,23,11528,6017,Supply Chain,Analyst Team Alpha,HIGH
2026-07-19,BDC-2026-001,BID-2026-2269,Operation Black Eclipse,Counter-Bioterror Intelligence Case,Digital Pathogen Deployment,MODERATE,Evidence Collection,Operational Recovery,Research Network,Specimen Tracking Server,Red Hat,Evidence Network,95,60,32,15907,9194,Credential Abuse,Analyst Team Delta,CRITICAL
2026-07-20,BDC-2026-001,BID-2026-8160,Operation Black Eclipse,Medical Device Security Assessment,Biological Data Exfiltration,LOW,Monitoring,Operational Recovery,Biosecurity Operations Center,Digital Evidence Appliance,Red Hat,Evidence Network,87,44,16,38680,8618,Credential Abuse,Analyst Team Delta,HIGH
2026-07-20,BDC-2026-001,BID-2026-9164,Operation Black Eclipse,Medical Device Security Assessment,Laboratory Credential Abuse,HIGH,Monitoring,Operational Recovery,Genome Sequencing Environment,Specimen Tracking Server,Fortinet,Research Operations,93,71,26,5869,22474,Compromised VPN,Analyst Team Delta,HIGH
2026-07-21,BDC-2026-001,BID-2026-5263,Operation Black Eclipse,Biological Research Intelligence Collection,Unauthorized Genomic Data Modification,HIGH,Field Coordination,Operational Recovery,Evidence Processing Network,Biomedical Workstation,Red Hat,Research Operations,97,74,25,189,46,Supply Chain Compromise,Analyst Team Delta,HIGH
2026-07-21,BDC-2026-001,BID-2026-4741,Operation Black Eclipse,Biological Research Intelligence Collection,Biological Data Exfiltration,MODERATE,Intelligence Analysis,Operational Recovery,Research Network,Genome Sequencing Server,VMware,Secure Laboratory,93,56,6,89,21,Unauthorized Remote Access,Joint Cyber Investigation Unit,ELEVATED
2026-07-21,BDC-2026-001,BID-2026-6233,Operation Black Eclipse,Laboratory Security Breach,Biocontainment System Tampering,MODERATE,Intelligence Analysis,Operational Recovery,Biomedical Analysis Cluster,Access Control System,Dell,Secure Laboratory,83,69,9,68,10,Supply Chain Compromise,Analyst Team Delta,ELEVATED
2026-07-22,BDC-2026-001,BID-2026-4333,Operation Black Eclipse,Biomedical Network Exposure,Insider Laboratory Compromise,HIGH,Field Coordination,Operational Recovery,Evidence Processing Network,Research Database,Microsoft,Federal Operations,86,79,26,104,39,Credential Abuse,Analyst Team Delta,HIGH
2026-07-22,BDC-2026-001,BID-2026-8048,Operation Black Eclipse,Unauthorized Research System Access,Research Network Persistence,MODERATE,Monitoring,Operational Recovery,Evidence Processing Network,Digital Evidence Appliance,Red Hat,Research Operations,87,64,12,68,21,Compromised VPN Account,Analyst Team Delta,ELEVATED
2026-07-23,BDC-2026-001,BID-2026-9826,Operation Black Eclipse,Cyber-Biothreat Intelligence Review,Biomedical Infrastructure Reconnaissance,LOW,Field Coordination,Operational Recovery,Clinical Research Environment,Digital Evidence Appliance,Fortinet,Secure Laboratory,81,40,3,32,5,Compromised VPN Account,National Response Cell,ROUTINE
2026-07-23,BDC-2026-001,BID-2026-2763,Operation Black Eclipse,Biomedical Network Exposure,Unauthorized Genomic Data Modification,MODERATE,Field Coordination,Operational Recovery,Federal Investigation Network,Specimen Tracking Server,Dell,Secure Laboratory,92,66,14,89,23,Unknown,National Response Cell,ELEVATED
2026-07-23,BDC-2026-001,BID-2026-3767,Operation Black Eclipse,Biomedical Network Exposure,Laboratory Credential Abuse,HIGH,Monitoring,Operational Recovery,Evidence Processing Network,Biomedical Workstation,Red Hat,Biosecurity Segment,97,72,20,100,38,Unknown,National Response Cell,HIGH
2026-07-23,BDC-2026-001,BID-2026-9421,Operation Black Eclipse,Evidence Reconstruction Investigation,Specimen Tracking Manipulation,LOW,Intelligence Analysis,Operational Recovery,Laboratory Control Network,Specimen Tracking Server,Cisco,Federal Operations,83,46,6,17,10,Misconfigured External Service,Analyst Team Delta,ROUTINE
2026-07-24,BDC-2026-001,BID-2026-4404,Operation Black Eclipse,Research Facility Intrusion,Biological Data Exfiltration,LOW,Containment,Operational Recovery,Laboratory Control Network,Genome Sequencing Server,Microsoft,Containment Network,87,40,5,16,15,Unauthorized Remote Access,Analyst Team Alpha,ROUTINE
2026-07-24,BDC-2026-001,BID-2026-7645,Operation Black Eclipse,Counter-Bioterror Intelligence Case,Research Data Integrity Manipulation,MODERATE,Field Coordination,Operational Recovery,Evidence Processing Network,Digital Evidence Appliance,Fortinet,Federal Operations,92,66,8,61,16,Credential Abuse,BioDefense Task Force,ELEVATED
2026-07-24,BDC-2026-001,BID-2026-4432,Operation Black Eclipse,Research Facility Intrusion,Insider Laboratory Compromise,HIGH,Evidence Collection,Operational Recovery,Laboratory Control Network,Laboratory Controller,Cisco,Evidence Network,96,73,13,123,37,Supply Chain Compromise,Analyst Team Alpha,HIGH
2026-07-24,BDC-2026-001,BID-2026-3610,Operation Black Eclipse,Laboratory Security Breach,Research Network Persistence,MODERATE,Evidence Collection,Operational Recovery,Federal Investigation Network,Access Control System,Dell,Federal Operations,87,67,17,78,33,Supply Chain Compromise,Analyst Team Bravo,ELEVATED
2026-07-24,BDC-2026-001,BID-2026-8498,Operation Black Eclipse,Cyber-Biothreat Intelligence Review,Unauthorized Genomic Data Modification,HIGH,Field Coordination,Operational Recovery,Evidence Processing Network,Evidence Repository,Cisco,Secure Laboratory,95,89,14,121,62,Unknown,Analyst Team Delta,HIGH
2026-07-24,BDC-2026-001,BID-2026-7222,Operation Black Eclipse,Cyber-Biothreat Intelligence Review,Research Network Persistence,CRITICAL,Monitoring,Operational Recovery,Clinical Research Environment,Access Control System,VMware,Research Operations,96,95,24,197,121,Credential Abuse,Joint Cyber Investigation Unit,CRITICAL
2026-07-25,BDC-2026-001,BID-2026-5964,Operation Black Eclipse,Laboratory Security Breach,Laboratory Credential Abuse,MODERATE,Evidence Collection,Operational Recovery,Federal Investigation Network,Digital Evidence Appliance,Microsoft,Research Operations,83,51,18,46,32,Misconfigured External Service,Analyst Team Delta,ELEVATED
2026-07-25,BDC-2026-001,BID-2026-6782,Operation Black Eclipse,Laboratory Security Breach,Laboratory Credential Abuse,HIGH,Monitoring,Operational Recovery,Biomedical Analysis Cluster,Laboratory Controller,Dell,Containment Network,94,73,18,186,63,Unauthorized Remote Access,Analyst Team Bravo,HIGH
2026-07-26,BDC-2026-001,BID-2026-3972,Operation Black Eclipse,Medical Device Security Assessment,Biological Data Exfiltration,CRITICAL,Intelligence Analysis,Operational Recovery,Laboratory Control Network,Access Control System,Fortinet,Research Operations,99,97,49,356,63,Phishing,Analyst Team Alpha,CRITICAL
2026-07-26,BDC-2026-001,BID-2026-8783,Operation Black Eclipse,Evidence Reconstruction Investigation,Research Data Integrity Manipulation,CRITICAL,Monitoring,Operational Recovery,Evidence Processing Network,Biomedical Workstation,Dell,Federal Operations,97,97,52,279,68,Phishing,BioDefense Task Force,CRITICAL
2026-07-26,BDC-2026-001,BID-2026-7389,Operation Black Eclipse,Unauthorized Research System Access,Unauthorized Genomic Data Modification,HIGH,Evidence Collection,Operational Recovery,Genome Sequencing Environment,Laboratory Controller,Palo Alto Networks,Federal Operations,86,88,23,214,66,Phishing,Analyst Team Delta,HIGH
2026-07-26,BDC-2026-001,BID-2026-5440,Operation Black Eclipse,Counter-Bioterror Intelligence Case,Laboratory Credential Abuse,HIGH,Evidence Collection,Operational Recovery,Laboratory Control Network,Access Control System,Red Hat,Containment Network,87,71,25,162,77,Phishing,Analyst Team Bravo,HIGH
2026-07-26,BDC-2026-001,BID-2026-1824,Operation Black Eclipse,Biosecurity Infrastructure Investigation,Biological Data Exfiltration,MODERATE,Intelligence Analysis,Operational Recovery,Genome Sequencing Environment,Biomedical Workstation,VMware,Federal Operations,83,68,15,61,35,Misconfigured External Service,National Response Cell,ELEVATED
2026-07-26,BDC-2026-001,BID-2026-4874,Operation Black Eclipse,Laboratory Security Breach,Biocontainment System Tampering,LOW,Open,Operational Recovery,Genome Sequencing Environment,Access Control System,Cisco,Containment Network,80,49,5,35,7,Compromised VPN Account,Analyst Team Alpha,ROUTINE
2026-07-26,BDC-2026-001,BID-2026-8128,Operation Black Eclipse,Medical Device Security Assessment,Research Network Persistence,MODERATE,Open,Operational Recovery,Laboratory Control Network,Biomedical Workstation,Lenovo,Biosecurity Segment,91,57,15,95,13,Unknown,Analyst Team Bravo,ELEVATED
2026-07-26,BDC-2026-001,BID-2026-1198,Operation Black Eclipse,Biomedical Network Exposure,Research Network Persistence,LOW,Open,Operational Recovery,Laboratory Control Network,Biomedical Workstation,VMware,Evidence Network,80,42,8,28,5,Misconfigured External Service,Analyst Team Delta,ROUTINE
2026-07-26,BDC-2026-001,BID-2026-9301,Operation Black Eclipse,Cyber-Biothreat Intelligence Review,Synthetic Genome Data Theft,LOW,Intelligence Analysis,Operational Recovery,Biosecurity Operations Center,Genome Sequencing Server,Palo Alto Networks,Federal Operations,87,35,3,33,6,Credential Abuse,Joint Cyber Investigation Unit,ROUTINE
2026-07-26,BDC-2026-001,BID-2026-9419,Operation Black Eclipse,Counter-Bioterror Intelligence Case,Unauthorized Genomic Data Modification,MODERATE,Field Coordination,Operational Recovery,Evidence Processing Network,Digital Evidence Appliance,VMware,Research Operations,85,69,13,85,30,Supply Chain Compromise,National Response Cell,ELEVATED
2026-07-26,BDC-2026-001,BID-2026-9404,Operation Black Eclipse,Cyber-Biothreat Intelligence Review,Biomedical Infrastructure Reconnaissance,MODERATE,Evidence Collection,Operational Recovery,Evidence Processing Network,Biomedical Workstation,Dell,Research Operations,94,52,13,86,15,Phishing,National Response Cell,ELEVATED
2026-07-26,BDC-2026-001,BID-2026-9444,Operation Black Eclipse,Biological Research Intelligence Collection,Specimen Tracking Manipulation,LOW,Evidence Collection,Operational Recovery,Evidence Processing Network,Research Database,Fortinet,Secure Laboratory,84,30,5,42,9,Phishing,Analyst Team Alpha,ROUTINE
2026-07-27,BDC-2026-001,BID-2026-1850,Operation Black Eclipse,Research Facility Intrusion,Research Data Integrity Manipulation,CRITICAL,Containment,Operational Recovery,Biosecurity Operations Center,Laboratory Controller,Microsoft,Federal Operations,91,96,54,197,151,Credential Abuse,National Response Cell,CRITICAL
2026-07-27,BDC-2026-001,BID-2026-4464,Operation Black Eclipse,Biological Research Intelligence Collection,Unauthorized Genomic Data Modification,CRITICAL,Monitoring,Operational Recovery,Biosecurity Operations Center,Digital Evidence Appliance,Lenovo,Containment Network,99,92,33,371,126,Credential Abuse,Analyst Team Bravo,CRITICAL
2026-07-28,BDC-2026-001,BID-2026-8255,Operation Black Eclipse,Counter-Bioterror Intelligence Case,Biocontainment System Tampering,MODERATE,Monitoring,Operational Recovery,Biomedical Analysis Cluster,Specimen Tracking Server,Lenovo,Research Operations,87,56,18,95,20,Compromised VPN Account,Analyst Team Alpha,ELEVATED
2026-07-28,BDC-2026-001,BID-2026-5296,Operation Black Eclipse,Biomedical Network Exposure,Specimen Tracking Manipulation,MODERATE,Monitoring,Operational Recovery,Evidence Processing Network,Biomedical Workstation,Lenovo,Containment Network,82,63,7,93,30,Supply Chain Compromise,Joint Cyber Investigation Unit,ELEVATED
2026-07-28,BDC-2026-001,BID-2026-2459,Operation Black Eclipse,Research Facility Intrusion,Biological Data Exfiltration,MODERATE,Evidence Collection,Operational Recovery,Biosecurity Operations Center,Specimen Tracking Server,Red Hat,Secure Laboratory,91,56,7,67,26,Credential Abuse,National Response Cell,ELEVATED
2026-07-29,BDC-2026-001,BID-2026-3308,Operation Black Eclipse,Evidence Reconstruction Investigation,Insider Laboratory Compromise,LOW,Evidence Collection,Operational Recovery,Federal Investigation Network,Biomedical Workstation,Palo Alto Networks,Secure Laboratory,84,41,7,14,14,Credential Abuse,Analyst Team Delta,ROUTINE
2026-07-29,BDC-2026-001,BID-2026-9499,Operation Black Eclipse,Unauthorized Research System Access,Research Network Persistence,CRITICAL,Open,Operational Recovery,Biosecurity Operations Center,Genome Sequencing Server,Cisco,Secure Laboratory,98,95,47,364,80,Unauthorized Remote Access,Analyst Team Alpha,CRITICAL
2026-07-29,BDC-2026-001,BID-2026-2215,Operation Black Eclipse,Unauthorized Research System Access,Laboratory Credential Abuse,HIGH,Field Coordination,Operational Recovery,Laboratory Control Network,Laboratory Controller,Red Hat,Federal Operations,97,85,18,168,75,Unknown,Analyst Team Bravo,HIGH
2026-07-29,BDC-2026-001,BID-2026-4439,Operation Black Eclipse,Evidence Reconstruction Investigation,Laboratory Credential Abuse,MODERATE,Intelligence Analysis,Operational Recovery,Biosecurity Operations Center,Research Database,VMware,Containment Network,92,69,11,46,15,Credential Abuse,Analyst Team Delta,ELEVATED
2026-07-30,BDC-2026-001,BID-2026-2293,Operation Black Eclipse,Medical Device Security Assessment,Laboratory Credential Abuse,MODERATE,Open,Operational Recovery,Biosecurity Operations Center,Digital Evidence Appliance,Microsoft,Evidence Network,87,66,10,58,25,Phishing,BioDefense Task Force,ELEVATED
2026-07-30,BDC-2026-001,BID-2026-3690,Operation Black Eclipse,Biological Research Intelligence Collection,Specimen Tracking Manipulation,MODERATE,Evidence Collection,Operational Recovery,Clinical Research Environment,Laboratory Controller,Cisco,Biosecurity Segment,90,55,9,44,32,Unknown,Analyst Team Delta,ELEVATED
