Date,Case ID,Campaign,Classification,Severity,Priority,Risk Score,Confidence,Evidence,IOCs,Assets,Platform,Vendor,Network Zone,Lead Analyst,Status
2026-07-05,BID-2026-3145,Biomedical Evidence Review,Bootloader Anomaly,MODERATE,Priority II,46,91,44,20,35,Security Appliance,Juniper,Operations VLAN,Analyst Team Bravo,Analysis
2026-07-05,BID-2026-3702,Protected Research Access Investigation,Supply Chain Validation Review,HIGH,Priority II,59,79,31,9,3,Embedded Linux Device,Advantech,DMZ,Analyst Team Sigma,Analysis
2026-07-06,BID-2026-6201,Biomedical Evidence Review,Memory Artifact Investigation,LOW,Priority I,20,78,15,12,38,Industrial Gateway,Advantech,Internal Core,Analyst Team Delta,Evidence Collection
2026-07-07,BID-2026-7522,After-Hours Access Review,Memory Artifact Investigation,HIGH,Priority I,69,92,28,23,36,Embedded Linux Device,Cisco,Operations VLAN,Analyst Team Alpha,Monitoring
2026-07-08,BID-2026-1455,Specimen Integrity Investigation,Unauthorized Research System Access,HIGH,Priority II,61,81,50,32,45,Medical Research Laboratory,Dell,Federal Operations,Analyst Team Delta,Intelligence Analysis
2026-07-08,BID-2026-2028,Protected Research Access Investigation,Unauthorized Research System Access,MODERATE,Priority III,50,99,20,6,28,Research Network,VMware,Evidence Network,Analyst Team Bravo,Evidence Collection
2026-07-09,BID-2026-1982,Protected Research Access Investigation,Counter-Bioterror Intelligence Case,MODERATE,Priority I,48,96,44,26,10,Genomics Server,Lenovo,Federal Operations,BioDefense Task Force,Monitoring
2026-07-09,BID-2026-6598,Research System Recovery Assessment,Digital Pathogen Intelligence Review,HIGH,Priority III,71,95,36,34,5,Digital Evidence Repository,Fortinet,Biosecurity Segment,Special Response Unit,Containment
2026-07-10,BID-2026-6042,Medical Device Communications Review,Medical Device Security Assessment,HIGH,Priority I,61,81,56,10,35,Clinical Trial Environment,Cisco,Internal Research,Analyst Team Alpha,Monitoring
2026-07-11,BID-2026-5446,Research System Recovery Assessment,Biosecurity Infrastructure Investigation,LOW,Priority II,22,88,56,27,5,Clinical Trial Environment,Red Hat,Secure Operations,Analyst Team Delta,Field Coordination
2026-07-11,BID-2026-8339,Research Facility Security Assessment,Research Facility Intrusion,LOW,Priority III,22,90,16,31,37,Federal Investigation Network,Dell,Biosecurity Segment,Analyst Team Bravo,Monitoring
